System Passenger - Passenger Enplanements (January,1996 - December 2014)
-(000)-

DateTotal
January,1996,42023
February,1996,43769
March,1996,51888
April,1996,48605
May,1996,49818
June,1996,51668
July,1996,53258
August,1996,54820
September,1996,45590
October,1996,49625
November,1996,44737
December,1996,49150
January,1997,45176
February,1997,43499
March,1997,53741
April,1997,49733
May,1997,51105
June,1997,53299
July,1997,55800
August,1997,56281
September,1997,47048
October,1997,50573
November,1997,47407
December,1997,49405
January,1998,45128
February,1998,44132
March,1998,53553
April,1998,52323
May,1998,53045
June,1998,55103
July,1998,57926
August,1998,57028
September,1998,47639
October,1998,52255
November,1998,49652
December,1998,50724
January,1999,46364
February,1999,45475
March,1999,55977
April,1999,53843
May,1999,53860
June,1999,57079
July,1999,60555
August,1999,59093
September,1999,50327
October,1999,55210
November,1999,53226
December,1999,51403
January,2000,46946
February,2000,48973
March,2000,59430
April,2000,56413
May,2000,58663
June,2000,61633
July,2000,63177
August,2000,61901
September,2000,52445
October,2000,56750
November,2000,55160
December,2000,52760
January,2001,49990
February,2001,48523
March,2001,59647
April,2001,57027
May,2001,57298
June,2001,60298
July,2001,63147
August,2001,63635
September,2001,34801
October,2001,44219
November,2001,44884
December,2001,45797
January,2002,43622
February,2002,43391
March,2002,54556
April,2002,50796
May,2002,52677
June,2002,55429
July,2002,57901
August,2002,57961
September,2002,45498
October,2002,53674
November,2002,50348
December,2002,55753
January,2003,49034
February,2003,46557
March,2003,56282
April,2003,52380
May,2003,54559
June,2003,58586
July,2003,63071
August,2003,61329
September,2003,49936
October,2003,55852
November,2003,52938
December,2003,56202
January,2004,50323
February,2004,51528
March,2004,61421
April,2004,60163
May,2004,59838
June,2004,64530
July,2004,68179
August,2004,65581
September,2004,53998
October,2004,60779
November,2004,58020
December,2004,59654
January,2005,55230
February,2005,53658
March,2005,67107
April,2005,62336
May,2005,64844
June,2005,67921
July,2005,71472
August,2005,67562
September,2005,57387
October,2005,60441
November,2005,59194
December,2005,60019
January,2006,56149
February,2006,53870
March,2006,66523
April,2006,63694
May,2006,64885
June,2006,67723
July,2006,70066
August,2006,66985
September,2006,56909
October,2006,62089
November,2006,60742
December,2006,61156
January,2007,57653
February,2007,54506
March,2007,67766
April,2007,65384
May,2007,67236
June,2007,70235
July,2007,73056
August,2007,71963
September,2007,59760
October,2007,64684
November,2007,62405
December,2007,61341
January,2008,58280
February,2008,57519
March,2008,68271
April,2008,63668
May,2008,66537
June,2008,68445
July,2008,70998
August,2008,68337
September,2008,54703
October,2008,60198
November,2008,54492
December,2008,57794
January,2009,52257
February,2009,50217
March,2009,61403
April,2009,59966
May,2009,60167
June,2009,64005
July,2009,68604
August,2009,65549
September,2009,55168
October,2009,59312
November,2009,55285
December,2009,57357
January,2010,53043
February,2010,49091
March,2010,62735
April,2010,60145
May,2010,61941
June,2010,65515
July,2010,69078
August,2010,66814
September,2010,57842
October,2010,62648
November,2010,58653
December,2010,59040
January,2011,54179
February,2011,50554
March,2011,64164
April,2011,61033
May,2011,64348
June,2011,66777
July,2011,70590
August,2011,66953
September,2011,58629
October,2011,61750
November,2011,58822
December,2011,59594
January,2012,54929
February,2012,53576
March,2012,65008
April,2012,61992
May,2012,64126
June,2012,67144
July,2012,69802
August,2012,68366
September,2012,57935
October,2012,61412
November,2012,59208
December,2012,59324
January,2013,55797
February,2013,52891
March,2013,65540
April,2013,61418
May,2013,65208
June,2013,67517
July,2013,69726
August,2013,68231
September,2013,58648
October,2013,62622
November,2013,58020
December,2013,62919
January,2014,56265
February,2014,52843
March,2014,66911
April,2014,63883
May,2014,66912
June,2014,69069
July,2014,72422
August,2014,70057
September,2014,60444
October,2014,64973
November,2014,60158
December,2014,64177

SOURCE: Bureau of Transportation Statistics
